"message_id","message","message_utc","from_id","date","time"
"58348","bem-vindos, @Rymarllon e @Kimenjss","2022-11-15 20:15:00","130331858","2022-11-15","20:15:00"
"58349","Valeu !","2022-11-15 20:30:05","5396477829","2022-11-15","20:30:05"
"58350","Eae mano","2022-11-15 20:32:03","1224930206","2022-11-15","20:32:03"
"58351","e não tenha medo de mim, pelo menos não medo de ser banido. Eu não bano nem silencio nem meus piores desafetos nos grupos de ""liberdade de expressão"".","2022-11-15 20:33:17","130331858","2022-11-15","20:33:17"
"58352","relaxa","2022-11-15 20:34:20","1224930206","2022-11-15","20:34:20"
"58353","Pena que esse grupo aqui tá meio parado","2022-11-15 20:34:27","1224930206","2022-11-15","20:34:27"
"58354","no momento não parece estar havendo tanta censura nos grupos de linux","2022-11-15 20:34:49","130331858","2022-11-15","20:34:49"
"58355","Você é o criador?(sim eu vi agora)","2022-11-15 20:34:49","1224930206","2022-11-15","20:34:49"
"58356","eu criei pra ser um grupo-santuário mesmo","2022-11-15 20:34:55","130331858","2022-11-15","20:34:55"
"58358","pra quem fosse censurado em grupos de linux poder discutir ou continuar discussões aqui","2022-11-15 20:35:08","130331858","2022-11-15","20:35:08"
"58359","sou criador sim, criei primeiro dois grupos de liberdade de expressão, o @linuxgamesbr e o @linuxlivre","2022-11-15 20:35:37","130331858","2022-11-15","20:35:37"
"58360","depois a pedidos criei o @politicalivre e mais tarde o @linuxgames_international","2022-11-15 20:35:56","130331858","2022-11-15","20:35:56"
"58361","todos eles têm a mesma política: sem bans, sem censura, sem silenciamento","2022-11-15 20:36:22","130331858","2022-11-15","20:36:22"
"58362","E aí, você joga Rocket league?","2022-11-15 20:36:46","1224930206","2022-11-15","20:36:46"
"58363","nem jogo","2022-11-15 20:37:22","130331858","2022-11-15","20:37:22"
"58364","não é meu estilo","2022-11-15 20:37:30","130331858","2022-11-15","20:37:30"
"58365","Que estranho","2022-11-15 20:37:30","1224930206","2022-11-15","20:37:30"
"58366","Você cria grupos de jogos mas n joga","2022-11-15 20:37:38","1224930206","2022-11-15","20:37:38"
"58367","eu também não jogo quase nada , não vejo graça em qualquer jogo, com exceção de Rocket league","2022-11-15 20:37:55","1224930206","2022-11-15","20:37:55"
"58368","O quê?","2022-11-15 20:39:55","130331858","2022-11-15","20:39:55"
"58369","eu não jogo?","2022-11-15 20:39:57","130331858","2022-11-15","20:39:57"
"58370","pensei que você tava falando de todo jogo","2022-11-15 20:40:12","1224930206","2022-11-15","20:40:12"
"58371","Aí eu lembrei que eu tinha falado de Rocket league","2022-11-15 20:40:22","1224930206","2022-11-15","20:40:22"
"58375","Como você faz pra diminuir a temperatura do seu Pc?","2022-11-15 20:41:08","1224930206","2022-11-15","20:41:08"
"58376","O meu tá com altas temperaturas, e eu realmente não quero comprar nada ainda","2022-11-15 20:41:16","1224930206","2022-11-15","20:41:16"
"58377","Uso um cooler caro","2022-11-15 20:41:25","130331858","2022-11-15","20:41:25"
"58378","Vou ter q jogar do lado de um ventilador pelo jeito","2022-11-15 20:41:41","1224930206","2022-11-15","20:41:41"
"58379","100 °C em um jogo é muito?","2022-11-15 20:41:48","1224930206","2022-11-15","20:41:48"
"58380","Noctua DH-15","2022-11-15 20:42:40","130331858","2022-11-15","20:42:40"
"58381","com toda certeza. CPU ou GPU?","2022-11-15 20:42:49","130331858","2022-11-15","20:42:49"
"58384","Ai","2022-11-15 20:43:29","1224930206","2022-11-15","20:43:29"
"58385","caramba","2022-11-15 20:43:48","130331858","2022-11-15","20:43:48"
"58386","Isso é mto?","2022-11-15 20:43:57","1224930206","2022-11-15","20:43:57"
"58387","muito. Inclusive desgasta as peças e diminui a vida útil do seu PC e dos componentes","2022-11-15 20:44:36","130331858","2022-11-15","20:44:36"
"58388","orra","2022-11-15 20:44:43","1224930206","2022-11-15","20:44:43"
"58389","Qnt é indicado?","2022-11-15 20:44:59","1224930206","2022-11-15","20:44:59"
"58390","Vcs estão no fediverse?","2022-11-15 22:00:12","5396477829","2022-11-15","22:00:12"
"58391","Eu tenho uma dúvida","2022-11-15 22:00:22","5396477829","2022-11-15","22:00:22"
"58392","Carai, 90+","2022-11-15 23:25:17","132567769","2022-11-15","23:25:17"
