"message_id","message","message_utc","from_id","date","time"
"14436","https://youtu.be/HVXxymH52rM","2022-10-05 00:36:53","1530412649","2022-10-05","00:36:53"
"14437","This community was blocked in Brazil following a decision of the Superior Electoral Court (TSE).","2022-10-05 00:58:00","949245829","2022-10-05","00:58:00"
"14438","Exposto o algoritmo, exposta à FRAUDE!","2022-10-05 09:15:42","721305992","2022-10-05","09:15:42"
"14440","Padre Leo, falecido em 2007, já mostrava há quase 20 anos que Lula era instrumento de ação que contraria a Fé Católica e Cristã, prestando serviço ao tinhoso.

Faz o L de Lúcifer aí!","2022-10-05 11:20:01","1564829467","2022-10-05","11:20:01"
"14441","LulaFlix – Conheça a verdade sobre o ex-presidiário
https://lulaflix.com.br/","2022-10-05 11:47:44","5081722638","2022-10-05","11:47:44"
"14442","Para Lula voltar ao poder, pode-se até comprometer a vida das crianças.","2022-10-05 12:14:11","1305359116","2022-10-05","12:14:11"
"14444","Patriota:
https://terrabrasilnoticias.com/2022/10/urgente-tse-da-24h-para-perfis-removerem-postagens-que-associam-lula-a-ditadura-na-nicaragua/

https://terrabrasilnoticias.com/2022/10/estamos-com-voces-diz-ditador-da-nicaragua-a-lula/

Com senadores eleitos pelo PL, impeachment de ministros do STF fica ao alcance de Bolsonaro
https://www.conexaopolitica.com.br/judiciario/com-senadores-eleitos-pelo-pl-impeachment-de-ministros-do-stf-fica-ao-alcance-de-bolsonaro/","2022-10-05 12:48:53","1204416163","2022-10-05","12:48:53"
"14445","Durante a campanha ao Senado, nos mais de 30 mil km percorridos em nosso estado, a maior demanda que ouvi dos catarinenses foi a necessidade de melhoria de nossa infraestrutura, em especial nas BRs. 
 
A qualidade de vida de todos nós catarinenses. Os custos de frete. A manutenção de veículos leves e de carga. O turismo. O agronegócio. A preservação da vida. Tudo isso passa pelas rodovias. 
 
Nesta quarta, 05/10, temos um 
encontro marcado às 20h para debater o status e as perspectivas das nossas BRs com o Ministro da Infraestrutura, Marcelo Sampaio. 
 
Oportunidade de escutar direto da fonte as ações previstas para Santa Catarina e desafios a serem enfrentados. 
 
Participe pelo nosso Instagram @jorgeseifjunior. 
 
Nos vemos lá!","2022-10-05 14:15:27","1204416163","2022-10-05","14:15:27"
"14453","https://youtu.be/B9AgknWHV6M","2022-10-05 14:46:56","5023563568","2022-10-05","14:46:56"
"14454","Vídeo de Rubian","2022-10-05 15:42:29","5081722638","2022-10-05","15:42:29"
"14455","https://youtu.be/vr5weWvCJfY","2022-10-05 15:54:20","1178622412","2022-10-05","15:54:20"
"14456","🇧🇷Seguimos em Brasília com o Presidente Bolsonaro e equipe para na próxima semana iniciarmos em SC a campanha rumo à vitória no 2º turno.  
 
Apoiamentos importantes: Governador Zema, Governador Cláudio Castro, Governador Ratinho, entre outros parlamentares e lideranças que querem o Brasil seguindo no caminho da prosperidade. 
 
Faça sua parte. Peça votos. Se empenhe. O trabalho é de formiguinha, diário, voto a voto. 
 
Vamos convencer e converter as abstenções. Lute. Não podemos deixar a quadrilha voltar. 
 
Pela Família. Pela Liberdade. Por valores. Pelo futuro de nossos filhos e da nossa Pátria Amada👊🏼","2022-10-05 16:37:46","1204416163","2022-10-05","16:37:46"
"14457","https://www.facebook.com/carolinerdetoni/posts/pfbid025QaTPZDMB73hdhmCPatwqi14vNrMS7Y3pvWZb4g4TRkAm51UWPVqPiWiqEQY12tal

Se Lula tivesse vencido no 1º turno e ""encerrado a conversa"" como queria, nunca teríamos visto essas declarações de agora... Não é mesmo? 😃

Quais são as tuas pautas cristãs, Lula? Aborto? Ideologia de gênero? Relativização de pequenos furtos? Protagonismo para invasores de terra? Mais Médicos e outros sistemas de escravidão e de exploração? Dinheiro brasileiro para ditaduras? Censura e regulação das mídias? Liberação das drogas? Expansão do Estado sobre o Indivíduo e a Família? Caridade com o dinheiro dos outros instrumentalizada para perpetuar-se no poder?

A verdade é que a campanha do Lula e do PT é a mais anticristã da história do Brasil.","2022-10-05 16:39:27","1204416163","2022-10-05","16:39:27"
"14458","Repassem aos indecisos. O que está em jogo é o breve futuro de cada um de nós!","2022-10-05 16:40:59","1204416163","2022-10-05","16:40:59"
"14459","This community was blocked in Brazil following a decision of the Superior Electoral Court (TSE).","2022-10-05 16:42:19","1204416163","2022-10-05","16:42:19"
"14460","This community was blocked in Brazil following a decision of the Superior Electoral Court (TSE).","2022-10-05 17:22:55","1204416163","2022-10-05","17:22:55"
"14461","Espalhe!! Divulgue!! EXIJA!!
Não entre nesse jogo de composição do Congresso e Governadores que apoiam Bolsonaro. EXIJA A LEGALIDADE DO PROCESSO ELEITORAL, NOSSA ÚNICA SEGURANÇA!","2022-10-05 18:13:55","5081722638","2022-10-05","18:13:55"
"14462","🚨EUA 🇺🇸:Segundo o jornal New York Times, Agências de inteligência dos Estados Unidos, acreditam que partes do governo ucraniano autorizaram o ataque com carro-bomba perto de Moscou em agosto que matou Daria Dugina, filha do professor Dugin.","2022-10-05 18:40:39","1564829467","2022-10-05","18:40:39"
