id;media_id;channel_id;message_id;dc_id;access_hash;mime_type;type;size;message_utc;retrieved_utc;updated_utc
31;5055657333275755161;-1001663318469;48307;1;5062131846775443854;video/mp4;video;6211178;2022-07-05 19:07:16;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
32;5057909133089440256;-1001663318469;48807;1;8181781039035720343;video/mp4;video;11741517;2022-07-06 15:40:25;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
33;5071589437150855645;-1001663318469;51374;1;4089504063415031780;application/vnd.android.package-archive;document;5274789;2022-07-11 17:24:03;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
34;5071589437150855646;-1001663318469;51375;1;6509811326203299890;application/vnd.android.package-archive;document;5274785;2022-07-11 17:24:17;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
35;5071589437150855647;-1001663318469;51376;1;5034731919146846927;application/vnd.android.package-archive;document;5274790;2022-07-11 17:24:32;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
36;5071589437150855648;-1001663318469;51377;1;-6042103432128890832;application/vnd.android.package-archive;document;5274789;2022-07-11 17:24:44;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
37;5071589437150855649;-1001663318469;51378;1;-8126987157352237294;application/vnd.android.package-archive;document;17204237;2022-07-11 17:25:32;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
38;5078325169936663199;-1001663318469;52323;1;-3014057910091425420;video/mp4;video,document;21373057;2022-07-13 15:06:13;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
39;5104998540342461372;-1001663318469;57160;1;1636311446725228648;application/vnd.android.package-archive;document;12902338;2022-07-22 13:18:25;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
40;5118394668348975659;-1001663318469;59632;1;7945552275556120819;;;39447;2022-07-26 23:52:32;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
41;5118394668348975655;-1001663318469;59633;1;3391610277542160445;;;41783;2022-07-26 23:51:52;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
42;5118394668348975656;-1001663318469;59634;1;8821335838364067103;;;42077;2022-07-26 23:51:52;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
43;5118394668348975658;-1001663318469;59635;1;-1708330586229071552;;;40398;2022-07-26 23:51:52;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
44;5118394668348975657;-1001663318469;59636;1;1100817239978474636;;;40043;2022-07-26 23:51:52;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
45;5134563802879208136;-1001663318469;62796;1;-7596775840829490492;;;39265;2022-08-01 22:15:18;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
46;5134563802422968811;-1001663318469;62941;1;8431643216860085925;video/mp4;video;3769891;2022-08-02 01:58:28;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
47;5143447895486343887;-1001663318469;64550;1;4028875924690739951;;;43160;2022-08-04 21:59:12;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
48;5143447895486343888;-1001663318469;64551;1;-3136050583434306651;;;52130;2022-08-04 21:59:12;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
49;5143447895486343889;-1001663318469;64552;1;-7694534358405387661;;;53704;2022-08-04 21:59:12;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
50;5145699694843790009;-1001663318469;64927;1;4450484706180858572;image/webp;image,document;23558;2022-08-05 14:12:40;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
51;5145699694843790012;-1001663318469;64951;1;-8229424903820754311;video/mp4;video;5949569;2022-08-05 15:12:17;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
52;5159383185770938866;-1001663318469;67181;1;-5442949748802600716;video/mp4;video;5276471;2022-08-09 16:37:07;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
53;5159383185770938867;-1001663318469;67187;1;-1405873377114105865;application/vnd.android.package-archive;document;4145624;2022-08-09 16:41:48;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
54;4972285155158895212;-1001663318469;67219;1;4742155941154912931;;;133141;2022-06-07 21:02:58;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
55;5159383185770938873;-1001663318469;67220;1;252215407410044298;video/mp4;video;9099737;2022-08-09 17:53:27;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
56;5165718430036263668;-1001663318469;68309;1;7740936367447060270;video/mp4;video;6508101;2022-08-11 16:47:28;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
57;5165718430036263680;-1001663318469;68386;1;-3769924435034316729;video/mp4;video,document;21432732;2022-08-11 20:28:17;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
58;5183671135635505853;-1001663318469;71914;1;-872808390108234944;audio/ogg;audio;2445866;2022-08-18 15:49:10;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
59;5183671135635505854;-1001663318469;71918;1;5197993484743527247;audio/ogg;audio;1171581;2022-08-18 15:50:14;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
60;4902339378904302288;-1001663318469;73150;1;-5232347791383709648;application/vnd.android.package-archive;document;11110946;2022-08-20 16:02:41;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
61;4902339378904302289;-1001663318469;73151;1;-7836249112291923505;audio/ogg;audio;39230;2022-08-20 16:02:56;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
62;4911523995124346030;-1001663318469;74333;1;-5229398205817804296;;;37862;2022-08-23 00:38:23;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
63;4911523995124346031;-1001663318469;74334;1;-5200361489745444930;;;37147;2022-08-23 00:38:24;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
64;4913477663621907406;-1001663318469;75092;1;1894912941339439548;video/mp4;video,document;3033073;2022-08-24 13:40:54;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
65;4913477663621907407;-1001663318469;75093;1;4425165057469524065;video/mp4;video,document;3875648;2022-08-24 13:42:09;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
66;4920246128353477169;-1001663318469;76048;1;2999433137456207289;application/vnd.android.package-archive;document;17196046;2022-08-26 13:50:31;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
67;4924916969712386874;-1001663318469;76975;1;-7103067470557552398;application/vnd.android.package-archive;document;9299789;2022-08-28 15:08:29;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
68;4958897118870767238;-1001663318469;81991;1;-7876419653144932197;video/mp4;video,document;13180075;2022-09-08 13:24:59;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
69;4961208030319346581;-1001663318469;82468;1;-7336263305108873797;video/mp4;video;6006299;2022-09-09 14:56:34;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
70;5001673185413933696;-1001663318469;87429;1;750303681278037435;;;48749;2022-09-22 16:46:32;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
71;5001673185413933697;-1001663318469;87430;1;570594995854761595;;;39171;2022-09-22 16:46:33;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
72;5001673185413933698;-1001663318469;87431;1;-2503412506688870244;;;56948;2022-09-22 16:46:34;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
73;5001673184957694454;-1001663318469;87433;1;-4988977690443291207;audio/ogg;audio;1029822;2022-09-22 16:47:33;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
74;5001673184957694461;-1001663318469;87529;1;-415331546842352605;video/mp4;video,document;2581614;2022-09-22 20:39:33;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
75;5001673184957694462;-1001663318469;87530;1;-2467192015606464129;video/mp4;video,document;4421187;2022-09-22 20:39:41;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
76;5001673184957694463;-1001663318469;87531;1;1975557247192398665;video/mp4;video,document;3869204;2022-09-22 20:39:50;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
77;5001673184957694464;-1001663318469;87532;1;-5349859667945374592;video/mp4;video,document;4883002;2022-09-22 20:40:05;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
78;5001673184957694466;-1001663318469;87548;1;211390248065824219;application/vnd.android.package-archive;document;17187854;2022-09-22 21:40:02;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
79;5024186948256793317;-1001663318469;88434;1;-6758815259716610433;application/vnd.android.package-archive;document;17204237;2022-09-30 17:48:41;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
80;5062305298404868661;-1001663318469;90185;1;1381211727397892273;application/vnd.android.package-archive;document;17196045;2022-10-13 12:59:01;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
81;5062305298404868662;-1001663318469;90186;1;3651503675940215033;video/mp4;video;5458124;2022-10-13 13:19:57;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
82;5062305298404868663;-1001663318469;90187;1;-2225491303261835039;video/mp4;video;5403158;2022-10-13 13:21:20;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
83;5066666601470755421;-1001663318469;90378;1;2034296865226972394;application/vnd.android.package-archive;document;16809891;2022-10-15 13:57:41;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
84;5066666601926994799;-1001663318469;90379;1;-1907426991909901276;;;23270;2022-10-15 13:57:41;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
85;5066666601926994800;-1001663318469;90380;1;-3322874735894604989;;;21166;2022-10-15 13:57:42;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
86;5100748859637869135;-1001663318469;91501;1;-6926938543260032355;;;54885;2022-10-26 16:56:12;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
87;5100748859637869136;-1001663318469;91502;1;2218586673255337169;;;41808;2022-10-26 16:56:12;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
88;5100748859637869137;-1001663318469;91503;1;2793826214981434220;;;47223;2022-10-26 16:56:13;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
89;5100748859637869135;-1001663318469;91504;1;-6926938543260032355;;;54885;2022-10-26 16:56:12;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
90;5100748859637869138;-1001663318469;91505;1;2645533951842749379;;;19621;2022-10-26 16:56:15;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
91;5100748859637869139;-1001663318469;91506;1;4471025056486938364;;;40583;2022-10-26 16:56:17;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
92;5107375556088933028;-1001663318469;91773;1;-4122163192839233589;;;11890;2022-10-28 15:07:35;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
93;5109391772195226347;-1001663318469;91933;1;8847448986257831876;video/mp4;video;15260434;2022-10-29 14:32:52;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
94;5122852616312718072;-1001663318469;92504;1;8699524016592784538;application/vnd.android.package-archive;document;17220623;2022-11-03 00:11:49;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
95;5141182553184535097;-1001663318469;93473;1;-7785208961684793537;video/mp4;video;69470044;2022-11-08 16:58:01;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
96;5167937755602223663;-1001663318469;94295;1;107452489505355436;video/mp4;video,document;1376483;2022-11-17 17:32:49;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
97;5185983606157214372;-1001663318469;94630;1;-8939436654168771530;application/vnd.android.package-archive;document;17216527;2022-11-23 16:16:46;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
98;5185983606613453599;-1001663318469;94631;1;-5308830342095635137;;;72833;2022-11-23 16:22:48;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
99;5185983606157214379;-1001663318469;94645;1;8191307787849266402;audio/ogg;audio;676576;2022-11-23 17:42:55;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
100;4911253068131074839;-1001663318469;97074;1;7877224254961124960;video/mp4;video,document;1293735;2022-11-28 20:06:41;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
101;4915882923073317658;-1001663318469;97561;1;4414918421182031162;;;129947;2022-11-29 20:22:57;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
102;4915882923073317659;-1001663318469;97562;1;-8104271376547122478;;;118613;2022-11-29 20:22:58;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
103;4915882923073317660;-1001663318469;97563;1;2518747498141600329;;;122359;2022-11-29 20:22:59;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
104;4915882923073317661;-1001663318469;97564;1;8676954118378369537;;;144703;2022-11-29 20:23:00;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
105;4933783710651646611;-1001663318469;100656;1;-5507180317033782727;video/mp4;video,document;11210385;2022-12-06 14:27:07;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
106;4965411755786349318;-1001663318469;107227;1;-6276940915981157532;;;69189;2022-12-16 19:40:34;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
107;4967663555143795314;-1001663318469;107370;1;6417297589080792410;video/mp4;video,document;6523492;2022-12-17 16:50:32;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
108;4977013832547412796;-1001663318469;107578;1;-5341187076971425701;;;43934;2022-12-20 16:08:23;2022-12-20 22:06:35.951293;2022-12-20 22:06:35.951293
