"message_id","message","message_utc","from_id","date","time"
"54916","A HORA É AGORA","2022-11-15 00:20:13","1514960278","2022-11-15","00:20:13"
"54917","Vídeo de IRMÃO FABIO","2022-11-15 00:20:17","1514960278","2022-11-15","00:20:17"
"54919","O argentino do momento disse que os arquivos da eleição foram decodificados e é possível ver o nome dos eleitores e em outra postagem ele foi questionado se é possível ver para quem o eleitor votou, ele apenas disse ""claro"".

Tor ou vpn:
https://twitter.com/FerCerimedo_ok/status/1592227819580715008/photo/1","2022-11-15 03:43:33","1159291188","2022-11-15","03:43:33"
"54920","Esse cara e falso!👺","2022-11-15 03:44:42","1159291188","2022-11-15","03:44:42"
"54921","O brasileiro mostra que se tornou o povo mais patriota do planeta: Surpreendeu a todos que estavam em um restaurante egípcio quando todos resolveram cantar o hino nacional brasileiro...
🙏🙏🏻🙏🏾❤️🇧🇷
https://m.facebook.com/story.php?story_fbid=pfbid02QsivGQKZ5osuJwvC3fq9S5kVFca1iQ29NEQ4r22G2wh2pg4XZLCHNQKwRsFdGriBl&id=100004049750055&sfnsn=wiwspwa","2022-11-15 04:05:11","1159291188","2022-11-15","04:05:11"
"54922","A fraude ocorreu após às 17h em todo o Brasil. Hackers conseguiram quebrar o código fonte, mas não foi o Exército, foram hackers brasileiros e segundo eles, já entregaram tudo pra Abin.","2022-11-15 04:07:55","1159291188","2022-11-15","04:07:55"
"54924","Vídeo","2022-11-15 04:50:58","5514366871","2022-11-15","04:50:58"
"54926","Áudio de ANPO","2022-11-15 12:31:33","1091162898","2022-11-15","12:31:33"
"54927","https://youtu.be/6ebkOT8mNx8","2022-11-15 12:36:10","628866889","2022-11-15","12:36:10"
"54928","Dando um sentido para o dia, clamamos:
""No dia da República
O Povo proclama

As instituições não nos representam

Forças Armadas o Povo Ordena

Intervenção Militar!","2022-11-15 12:39:47","1682710291","2022-11-15","12:39:47"
