"message_id","message","message_utc","from_id","date","time"
"56306","https://youtu.be/B83Ybe--CBU","2022-12-15 00:20:37","694501971","2022-12-15","00:20:37"
"56307","🚨 GRAVE - Fátima Bernardes incita militantes a confrontarem manifestantes contrários à Lula.

➡️ VEJA: https://investorbr.com/fatima-bernardes-convoca-militantes-a-confrontarem-manifestantes-contrarios-a-lula-nas-redes/

📢 Via: @InvestorBrazil

🔗 COMPARTILHEM‼️ ⬆️ Compartilhe nos grupos esta notícia. Só assim todas as pessoas vão ter acesso a tudo que está acontecendo no Brasil neste momento. A grande mídia não vai noticiar estes fatos.","2022-12-15 01:14:17","5813964844","2022-12-15","01:14:17"
"56308","Vídeo de","2022-12-15 10:03:17","834207243","2022-12-15","10:03:17"
"56309","https://youtu.be/ve7dgyPwvAo","2022-12-15 11:49:08","628866889","2022-12-15","11:49:08"
"56310","🚨 GRAVE - Fátima Bernardes incita militantes a confrontarem manifestantes contrários à Lula.

➡️ VEJA: https://investorbr.com/fatima-bernardes-convoca-militantes-a-confrontarem-manifestantes-contrarios-a-lula-nas-redes/

📢 Via: @InvestorBrazil

🔗 COMPARTILHEM‼️ ⬆️ Compartilhe nos grupos esta notícia. Só assim todas as pessoas vão ter acesso a tudo que está acontecendo no Brasil neste momento. A grande mídia não vai noticiar estes fatos.","2022-12-15 12:06:18","5940802019","2022-12-15","12:06:18"
"56311","https://youtu.be/rBo12H--ppo","2022-12-15 12:16:53","1226906426","2022-12-15","12:16:53"
"56312","Xeque-mate agora compartilhe o máximo","2022-12-15 12:18:09","1226906426","2022-12-15","12:18:09"
"56313","Vídeo de renatoribeiroh","2022-12-15 17:56:26","1226906426","2022-12-15","17:56:26"
"56314","Vídeo de renatoribeiroh","2022-12-15 20:18:29","1226906426","2022-12-15","20:18:29"
"56315","🚨 GRAVE - Dilma será DESIMPEACHMADA pelo Congresso e poderá dizer que sofreu golpe a época quando saiu da presidência.

➡️ VEJA: https://investorbr.com/desimpeachmada-contas-do-impeachment-de-dilma-deverao-ser-aprovadas-pelo-congresso/


📢 Via: @InvestorBrazil

🔗 COMPARTILHEM‼️ ⬆️ Compartilhe nos grupos esta notícia. Só assim todas as pessoas vão ter acesso a tudo que está acontecendo no Brasil neste momento. A grande mídia não vai noticiar estes fatos.","2022-12-15 21:41:00","5940802019","2022-12-15","21:41:00"
