"message_id","message","message_utc","from_id","date","time"
"22720","https://twitter.com/franzfiocruz/status/1587818529109069824?t=PJm56PTgxH_l6Pj0kAtvUw&s=09","2022-11-02 15:41:45","2048897207","2022-11-02","15:41:45"
"22721","https://twitter.com/ricardojgomes/status/1587831629841563651?t=pDC1WdSv0Sdbk7jY1Si_rQ&s=09","2022-11-02 15:42:46","2048897207","2022-11-02","15:42:46"
"22731","https://twitter.com/DiretoDaAmerica/status/1587653746762436613?t=4WLbaP4hYmeYPRQIpr6TRA&s=09","2022-11-02 15:54:29","2048897207","2022-11-02","15:54:29"
"22732","https://twitter.com/Tali_Mito22/status/1587658845345792001?t=y_YqqNzg7WajGXTkaRAinw&s=09","2022-11-02 15:55:21","2048897207","2022-11-02","15:55:21"
"22663","This community was blocked in Brazil following a decision of the Superior Electoral Court (TSE).","2022-11-02 12:47:17","5278203815","2022-11-02","12:47:17"
"22689","🇧🇷NÃO VAMOS DEIXAR ESSA CHAMA SE APAGAR🔥 

Participe da Semana do Próximo Candidato, dos dia 7 ao dia 10 Novembro. Um evento on-line e gratuito que vai te ajudar a descobrir se você tem perfil para representar o Brasil como vereador em 2024 e como fazer o seu próprio marketing do jeito certo.

Clique no link abaixo para fazer sua inscrição. 

👉🏻 https://paginas.votoflix.com.br/semana-proximo-candidato

São vagas gratuitas, mas limitadas! 🇧🇷","2022-11-02 14:43:26","1212121012","2022-11-02","14:43:26"
"22690","https://twitter.com/amandamoraes500/status/1587804668025098241?t=lm6RdwZsDSAksoacyy1vWw&s=09","2022-11-02 15:05:48","2048897207","2022-11-02","15:05:48"
"22641","Foto de João 3:16","2022-11-02 00:38:25","2048897207","2022-11-02","00:38:25"
"22643","Simbora","2022-11-02 01:21:16","655154898","2022-11-02","01:21:16"
"22644","🇧🇷NÃO VAMOS DEIXAR ESSA CHAMA SE APAGAR🔥 

Participe da Semana do Próximo Candidato, dos dia 7 ao dia 10 Novembro. Um evento on-line e gratuito que vai te ajudar a descobrir se você tem perfil para representar o Brasil como vereador em 2024 e como fazer o seu próprio marketing do jeito certo.

Clique no link abaixo para fazer sua inscrição. 

👉🏻 https://paginas.votoflix.com.br/semana-proximo-candidato

São vagas gratuitas, mas limitadas! 🇧🇷","2022-11-02 03:25:53","1212121012","2022-11-02","03:25:53"
