"message_id","message","message_utc","from_id","date","time"
"533014","Feliz ano Novo 🎉","2023-01-01 03:14:10","25962582","2023-01-01","03:14:10"
"533016","Galera tô tentando instalar o Manjaro gnome, mas quando tô no final do processo e clico em instalar. O instalador fecha e não continua com o processo!","2023-01-01 07:15:35","147705440","2023-01-01","07:15:35"
"533017","Não tô conseguindo instalar o Manjaro na minha máquina, ele fecha no final do processo da instalação quando clico em instalar!","2023-01-01 07:33:28","147705440","2023-01-01","07:33:28"
"533019","Verificou a hash da ISO pra saber se ela não estava corrompida?","2023-01-01 09:39:13","883083059","2023-01-01","09:39:13"
"533020","Bom dia amigo, não. Mas já baixei ela de novo e nem assim!","2023-01-01 09:39:49","147705440","2023-01-01","09:39:49"
"533021","Acabei de baixar o Ventoy mais atual, fiz novamente o pendrive bootavel. E não deu certo tb!","2023-01-01 09:59:22","147705440","2023-01-01","09:59:22"
"533028","Então eu baixei pelo navegador e por torrent, os dois deu problema","2023-01-01 14:26:30","147705440","2023-01-01","14:26:30"
"533022","Acontece isso sempre!","2023-01-01 10:02:51","147705440","2023-01-01","10:02:51"
"533023","O estranho, q outro ambiente gráfico do Manjaro instalou. Só o gnome justo o q eu queria não foi!","2023-01-01 12:32:55","147705440","2023-01-01","12:32:55"
"533024","Estranho isso, mas aconteceu comigo também, não sei se é falha da ISO.
Mas consegui instalando outra ISO com Xfce e depois instalei o gnome e exclui o Xfce","2023-01-01 13:42:01","647512036","2023-01-01","13:42:01"
"533025","Da um pouco de trabalho mas deu certo","2023-01-01 13:42:16","647512036","2023-01-01","13:42:16"
"533026","O engraçado é que do nada ele fecha sabe. Eu acho que é alguma coisa que deu pau na compilação dos pacotes, pois já tinha baixado outras Isos de outros servidores e acontecia a mesma coisa","2023-01-01 13:43:52","647512036","2023-01-01","13:43:52"
"533027","@Claupper é chato isso né, tentei instalar várias vezes. O KDE do Manjaro foi normal","2023-01-01 13:46:57","147705440","2023-01-01","13:46:57"
"533029","Eu acho que é alguma falha na compilação da ISO.
Ou alguma incompatibilidade da placa mãe","2023-01-01 14:27:53","647512036","2023-01-01","14:27:53"
"533030","Outras distros e imagens funcionam normal","2023-01-01 14:28:19","647512036","2023-01-01","14:28:19"
"533031","Sim, foi a única distro q aconteceu isso!","2023-01-01 14:28:34","147705440","2023-01-01","14:28:34"
"533032","Fecha como?","2023-01-01 14:29:13","25962582","2023-01-01","14:29:13"
"533033","E só o gnome, isso q é o pior","2023-01-01 14:29:19","147705440","2023-01-01","14:29:19"
"533034","Já reparei que na minha placa mãe da gigabyte independente da DM que vc subir, ele demora pra startar por causa da placa de vídeo","2023-01-01 14:29:28","647512036","2023-01-01","14:29:28"
"533035","Instalador crasha?","2023-01-01 14:29:36","25962582","2023-01-01","14:29:36"
"533036","Sistema desliga","2023-01-01 14:29:39","25962582","2023-01-01","14:29:39"
"533037","Entendi, no meu caso é um notebook","2023-01-01 14:29:45","147705440","2023-01-01","14:29:45"
"533038","Manda video","2023-01-01 14:29:47","25962582","2023-01-01","14:29:47"
"533039","Comigo foi o gnome também, mas estava testando. Eu uso mais o Xfce","2023-01-01 14:30:14","647512036","2023-01-01","14:30:14"
"533040","Ahh tá","2023-01-01 14:30:24","147705440","2023-01-01","14:30:24"
"533041","Mas é estranho essa falha","2023-01-01 14:30:51","647512036","2023-01-01","14:30:51"
"533042","Será q uma versão anterior, eu consigo instalar ?","2023-01-01 14:30:52","147705440","2023-01-01","14:30:52"
"533043","Então amigo, vai até o final só clicar em instalar. Eu clico ele fecha kk","2023-01-01 14:31:19","147705440","2023-01-01","14:31:19"
"533044","Pode ser que sim, pois na versão anterior eu não tive esse problema não","2023-01-01 14:31:43","647512036","2023-01-01","14:31:43"
"533045","Provavelmente a ISO do gnome tá mal compilada, vc pode reportar isso no fórum do manjaro","2023-01-01 14:31:56","25962582","2023-01-01","14:31:56"
"533046","Onde encontro as ISOS, anteriores pra baixar ?","2023-01-01 14:32:17","147705440","2023-01-01","14:32:17"
"533047","Da pra reclamar sim","2023-01-01 14:32:31","647512036","2023-01-01","14:32:31"
"533048","Vou procurar o forum dele aqui e salvar nos favoritos!","2023-01-01 14:32:42","147705440","2023-01-01","14:32:42"
"533049","Não sei mas acredito que no servidor FTP do manjaro","2023-01-01 14:32:55","647512036","2023-01-01","14:32:55"
"533050","👍","2023-01-01 14:33:05","647512036","2023-01-01","14:33:05"
"533051","Não consigo ver agora pois estou na rua","2023-01-01 14:33:30","647512036","2023-01-01","14:33:30"
"533052","Tipo, se eu baixar essa ISO mais antiga, instalar. Depois atualizar pra mais recente, corre o risco de gerar algum problema ?","2023-01-01 14:35:59","147705440","2023-01-01","14:35:59"
"533054","Não","2023-01-01 14:36:34","25962582","2023-01-01","14:36:34"
"533055","Mandei o vídeo","2023-01-01 14:36:39","147705440","2023-01-01","14:36:39"
"533056","Eu vi lá no tópico","2023-01-01 14:36:49","25962582","2023-01-01","14:36:49"
"533057","Rafael, mandei o vídeo lá no geral","2023-01-01 14:36:53","147705440","2023-01-01","14:36:53"
"533058","Se quiser mando aqui tb","2023-01-01 14:36:57","147705440","2023-01-01","14:36:57"
"533059","Ahh tá","2023-01-01 14:37:24","147705440","2023-01-01","14:37:24"
"533060","Vlw Rafa","2023-01-01 14:40:43","147705440","2023-01-01","14:40:43"
"533061","Vou dar uma olhada mais tarde","2023-01-01 14:40:53","147705440","2023-01-01","14:40:53"
"533063","Robert [5982994620] para participar neste grupo, defina, nas configurações do Telegram, um nome de usuário e clique em ""Feito!"". 
Ação: Silenciado 🔇","2023-01-01 18:43:59","5298578702","2023-01-01","18:43:59"
"533065","Logan [5978785098] para participar neste grupo, defina, nas configurações do Telegram, um nome de usuário e clique em ""Feito!"". 
Ação: Silenciado 🔇","2023-01-01 18:45:21","5298578702","2023-01-01","18:45:21"
"533067","Oliver [5922884800] para participar neste grupo, defina, nas configurações do Telegram, um nome de usuário e clique em ""Feito!"". 
Ação: Silenciado 🔇","2023-01-01 18:48:04","5298578702","2023-01-01","18:48:04"
"533069","Nathan [5898879838] para participar neste grupo, defina, nas configurações do Telegram, um nome de usuário e clique em ""Feito!"". 
Ação: Silenciado 🔇","2023-01-01 18:52:59","5298578702","2023-01-01","18:52:59"
"533070","Amigos não tô achando a ISO do Manjaro gnome 21 pra baixar","2023-01-01 19:30:25","147705440","2023-01-01","19:30:25"
"533071","Gnome 21?","2023-01-01 19:35:31","25962582","2023-01-01","19:35:31"
"533072","Isso maninho, pq o 22 tá dando um problema na instalação. Queria ver se pelo 21, consigo instalar!","2023-01-01 19:36:06","147705440","2023-01-01","19:36:06"
"533073","Tá falando da versão da ISO do manjaro?","2023-01-01 19:36:23","25962582","2023-01-01","19:36:23"
"533074","Sim","2023-01-01 19:36:31","147705440","2023-01-01","19:36:31"
"533075","Pq gnome tá na versão 43","2023-01-01 19:36:35","25962582","2023-01-01","19:36:35"
"533076","Não, a versão do Manjaro mesmo","2023-01-01 19:36:51","147705440","2023-01-01","19:36:51"
"533077","A mais atual do site oficial, não tá finalizando a instalação na minha máquina","2023-01-01 19:37:15","147705440","2023-01-01","19:37:15"
"533078","Tu vai ter que procurar se tem no github do manjaro","2023-01-01 19:41:16","25962582","2023-01-01","19:41:16"
"533079","Oba gente, eu tenho um micro que eu uso que tem uma partição com windows que eu raramente uso (para dar aula de SketchUp) e com uma partição com Manjaro. Eu queria converter em BTRFS e encriptar essa minha partição principal do Manjaro. Todos os tutoriais que eu olho tanto de converter o formato como de encriptar me parecem super difíceis e eu fico desanimado e medroso.","2023-01-01 19:42:35","149994769","2023-01-01","19:42:35"
"533080","Fiz um backup com timeshift em um HD externo","2023-01-01 19:43:08","149994769","2023-01-01","19:43:08"
"533081","Se tiver então, é só lá ?","2023-01-01 19:43:51","147705440","2023-01-01","19:43:51"
"533082","E queria um aconselhamento / apoio moral para fazer essa ""migração""","2023-01-01 19:43:54","149994769","2023-01-01","19:43:54"
"533083","É","2023-01-01 19:44:50","25962582","2023-01-01","19:44:50"
"533084","Se eu bootar em um pendrive com Manjaro será que consigo formatar essa partição em BTRFS com LUK, e voltar os arquivos do timeshift e não quebrar o boot e tals?","2023-01-01 19:46:01","149994769","2023-01-01","19:46:01"
"533085","Achei amigo","2023-01-01 19:49:49","147705440","2023-01-01","19:49:49"
"533086","https://www.softfully.com/linux/manjaro-linux","2023-01-01 19:49:51","147705440","2023-01-01","19:49:51"
"533087","Nesse link","2023-01-01 19:49:54","147705440","2023-01-01","19:49:54"
"533088","Nunca vi esse link","2023-01-01 19:50:27","25962582","2023-01-01","19:50:27"
"533089","Cuidado","2023-01-01 19:50:32","25962582","2023-01-01","19:50:32"
"533090","Falei do github","2023-01-01 19:50:37","25962582","2023-01-01","19:50:37"
"533091","Nada fora disso","2023-01-01 19:50:40","25962582","2023-01-01","19:50:40"
"533092","Vc não vai criptografar com o sistema já instalado","2023-01-01 19:51:42","25962582","2023-01-01","19:51:42"
"533093","Precisa formatar","2023-01-01 19:51:48","25962582","2023-01-01","19:51:48"
"533094","Com opção de criptografia","2023-01-01 19:51:56","25962582","2023-01-01","19:51:56"
"533095","Backup só dos arquivos ou do sistema?","2023-01-01 19:52:15","25962582","2023-01-01","19:52:15"
"533096","Entendi amigo, nem baixei","2023-01-01 20:05:03","147705440","2023-01-01","20:05:03"
"533097","Fiz um backup timeshift pedindo pra incluir o meu user","2023-01-01 20:16:06","149994769","2023-01-01","20:16:06"
"533098","Sim, essa é a ideia","2023-01-01 20:16:31","149994769","2023-01-01","20:16:31"
"533099","Formatar com a opção LUK, meu medo é quebrar o grub","2023-01-01 20:17:14","149994769","2023-01-01","20:17:14"
"533100","Olá! Nonato aqui.

Já estou há dias testando o Manjaro com Gnome 43, que instalei duas vezes sem problemas de instalação. Tive uns poucos problemas pontuais, mas que já contornei e não impactaram diretamente na usabilidade.","2023-01-01 20:37:44","27232274","2023-01-01","20:37:44"
"533101","Se vc restaurar o sistema com btrfs e luks vai da ruim","2023-01-01 20:53:56","25962582","2023-01-01","20:53:56"
"533102","Recomendo que restaure só o user","2023-01-01 20:54:34","25962582","2023-01-01","20:54:34"
"533103","É amigos, realmente era a iso 22 atual o problema. Baixei a 21.3.7 do site oficial tá instalando!","2023-01-01 20:55:00","147705440","2023-01-01","20:55:00"
"533104","então eu formato com o btrfs+luk, instalo um novo Manjaro, atualizo ele e restauro só o meu user, correto? Alguma dica de tutorial de como ""puxar"" o user de um backup?","2023-01-01 21:06:27","149994769","2023-01-01","21:06:27"
"533105","Usando o próprio timeshift né não?","2023-01-01 22:17:23","25962582","2023-01-01","22:17:23"
"533106","Pessoal, viva","2023-01-01 23:02:30","1125259668","2023-01-01","23:02:30"
"533108","preciso estudar... os dados estão lá, certamente, mas como movê-los de volta isolados do resto eu preciso ver. Tem como navegar nas pastas do snapshot","2023-01-01 23:16:06","149994769","2023-01-01","23:16:06"
"533109","Passa manualmente","2023-01-01 23:16:32","25962582","2023-01-01","23:16:32"
"533110","Ou usa rsync","2023-01-01 23:16:36","25962582","2023-01-01","23:16:36"
